date,demand,civilians_rank,w_{t-5}
2014-02-11,22,2,21.0
2014-02-18,15,3,28.0
2014-02-25,27,1,48.0
2014-03-04,30,2,34.0
2014-03-11,83,3,39.0
2014-03-18,44,2,22.0
2014-03-25,29,4,15.0
2014-04-01,56,2,27.0
2014-04-08,14,4,30.0
2014-04-15,29,4,83.0
2014-04-22,46,2,44.0
2014-04-29,18,3,29.0
2014-05-06,20,3,56.0
2014-05-13,24,3,14.0
2014-05-20,48,3,29.0
2014-05-27,33,1,46.0
2014-06-03,41,2,18.0
2014-06-10,34,2,20.0
2014-06-17,16,3,24.0
2014-06-24,22,1,48.0
2014-07-01,34,2,33.0
2014-07-08,29,1,41.0
2014-07-15,20,2,34.0
2014-07-22,25,3,16.0
2014-07-29,6,2,22.0
2014-08-05,17,3,34.0
2014-08-12,31,1,29.0
2014-08-19,20,4,20.0
2014-08-26,25,2,25.0
2014-09-02,31,1,6.0
2014-09-09,57,2,17.0
2014-09-16,32,2,31.0
2014-09-23,44,1,20.0
2014-09-30,45,1,25.0
2014-10-07,6,3,31.0
2014-10-14,45,1,57.0
2014-10-21,52,2,32.0
2014-10-28,34,1,44.0
2014-11-04,59,1,45.0
2014-11-11,59,2,6.0
2014-11-18,49,3,45.0
2014-11-25,44,1,52.0
2014-12-02,42,3,34.0
2014-12-09,58,1,59.0
2014-12-16,56,2,59.0
2014-12-23,61,2,49.0
2014-12-30,59,4,44.0
2015-01-06,32,2,42.0
2015-01-13,44,1,58.0
2015-01-20,51,1,56.0
2015-01-27,66,1,61.0
2015-02-03,66,2,59.0
2015-02-10,49,3,32.0
2015-02-17,48,1,44.0
2015-02-24,58,2,51.0
2015-03-03,54,2,66.0
2015-03-10,76,1,66.0
2015-03-17,82,1,49.0
2015-03-24,64,3,48.0
2015-03-31,72,2,58.0
2015-04-07,85,1,54.0
2015-04-14,63,1,76.0
2015-04-21,60,2,82.0
2015-04-28,66,3,64.0
2015-05-05,61,3,72.0
2015-05-12,54,3,85.0
2015-05-19,41,1,63.0
2015-05-26,46,3,60.0
2015-06-02,40,1,66.0
2015-06-09,48,2,61.0
2015-06-16,45,3,54.0
2015-06-23,45,1,41.0
2015-06-30,53,4,46.0
2015-07-07,54,1,40.0
2015-07-14,44,1,48.0
2015-07-21,35,1,45.0
2015-07-28,68,2,45.0
2015-08-04,69,3,53.0
2015-08-11,39,2,54.0
2015-08-18,53,3,44.0
2015-08-25,59,2,35.0
2015-09-01,57,1,68.0
2015-09-08,60,1,69.0
2015-09-15,73,1,39.0
2015-09-22,64,2,53.0
2015-09-29,31,1,59.0
2015-10-06,85,2,57.0
2015-10-13,60,2,60.0
2015-10-20,73,3,73.0
2015-10-27,62,2,64.0
2015-11-03,78,3,31.0
2015-11-10,78,4,85.0
2015-11-17,76,3,60.0
2015-11-24,69,3,73.0
2015-12-01,87,3,62.0
2015-12-08,91,2,78.0
2015-12-15,79,4,78.0
2015-12-22,107,3,76.0
2015-12-29,91,2,69.0
2016-01-05,82,1,87.0
2016-01-12,76,3,91.0
2016-01-19,72,1,79.0
2016-01-26,57,2,107.0
2016-02-02,66,3,91.0
2016-02-09,38,3,82.0
2016-02-16,28,2,76.0
2016-02-23,26,2,72.0
2016-03-01,21,3,57.0
2016-03-08,18,1,66.0
2016-03-15,33,1,38.0
2016-03-22,46,1,28.0
2016-03-29,51,1,26.0
2016-04-05,45,1,21.0
2016-04-12,32,1,18.0
2016-04-19,46,4,33.0
2016-04-26,65,4,46.0
2016-05-03,65,4,51.0
2016-05-10,69,3,45.0
2016-05-17,48,3,32.0
2016-05-24,31,4,46.0
2016-05-31,26,4,65.0
2016-06-07,24,4,65.0
2016-06-14,18,4,69.0
2016-06-21,22,4,48.0
2016-06-28,19,4,31.0
2016-07-05,16,4,26.0
2016-07-12,10,4,24.0
2016-07-19,24,4,18.0
2016-07-26,38,4,22.0
2016-08-02,22,4,19.0
2016-08-09,17,4,16.0
2016-08-16,23,4,10.0
2016-08-23,46,4,24.0
2016-08-30,37,4,38.0
2016-09-06,36,4,22.0
2016-09-13,34,4,17.0
2016-09-20,68,4,23.0
2016-09-27,52,4,46.0
2016-10-04,57,4,37.0
2016-10-11,71,4,36.0
2016-10-18,67,4,34.0
2016-10-25,70,3,68.0
2016-11-01,43,3,52.0
2016-11-08,71,4,57.0
2016-11-15,58,4,71.0
2016-11-22,69,4,67.0
2016-11-29,73,4,70.0
2016-12-06,62,4,43.0
2016-12-13,81,4,71.0
2016-12-20,114,1,58.0
2016-12-27,74,3,69.0
2017-01-03,54,2,73.0
