date,demand,civilians_rank,w_{t-5}
2014-02-11,16,2,40.0
2014-02-18,46,3,40.0
2014-02-25,37,1,46.0
2014-03-04,31,2,25.0
2014-03-11,50,3,52.0
2014-03-18,43,2,16.0
2014-03-25,16,4,46.0
2014-04-01,55,2,37.0
2014-04-08,59,4,31.0
2014-04-15,52,4,50.0
2014-04-22,65,2,43.0
2014-04-29,26,3,16.0
2014-05-06,53,3,55.0
2014-05-13,44,3,59.0
2014-05-20,52,3,52.0
2014-05-27,36,1,65.0
2014-06-03,58,2,26.0
2014-06-10,58,2,53.0
2014-06-17,32,3,44.0
2014-06-24,37,1,52.0
2014-07-01,50,2,36.0
2014-07-08,55,1,58.0
2014-07-15,22,2,58.0
2014-07-22,47,3,32.0
2014-07-29,15,2,37.0
2014-08-05,49,3,50.0
2014-08-12,32,1,55.0
2014-08-19,26,4,22.0
2014-08-26,63,2,47.0
2014-09-02,59,1,15.0
2014-09-09,41,2,49.0
2014-09-16,51,2,32.0
2014-09-23,48,1,26.0
2014-09-30,34,1,63.0
2014-10-07,18,3,59.0
2014-10-14,59,1,41.0
2014-10-21,37,2,51.0
2014-10-28,51,1,48.0
2014-11-04,53,1,34.0
2014-11-11,50,2,18.0
2014-11-18,34,3,59.0
2014-11-25,55,1,37.0
2014-12-02,50,3,51.0
2014-12-09,71,1,53.0
2014-12-16,54,2,50.0
2014-12-23,63,2,34.0
2014-12-30,25,4,55.0
2015-01-06,60,2,50.0
2015-01-13,55,1,71.0
2015-01-20,47,1,54.0
2015-01-27,42,1,63.0
2015-02-03,81,2,25.0
2015-02-10,55,3,60.0
2015-02-17,69,1,55.0
2015-02-24,53,2,47.0
2015-03-03,32,2,42.0
2015-03-10,89,1,81.0
2015-03-17,49,1,55.0
2015-03-24,72,3,69.0
2015-03-31,44,2,53.0
2015-04-07,81,1,32.0
2015-04-14,35,1,89.0
2015-04-21,73,2,49.0
2015-04-28,49,3,72.0
2015-05-05,55,3,44.0
2015-05-12,54,3,81.0
2015-05-19,49,1,35.0
2015-05-26,42,3,73.0
2015-06-02,61,1,49.0
2015-06-09,70,2,55.0
2015-06-16,68,3,54.0
2015-06-23,61,1,49.0
2015-06-30,58,4,42.0
2015-07-07,77,1,61.0
2015-07-14,59,1,70.0
2015-07-21,23,1,68.0
2015-07-28,68,2,61.0
2015-08-04,79,3,58.0
2015-08-11,60,2,77.0
2015-08-18,66,3,59.0
2015-08-25,50,2,23.0
2015-09-01,49,1,68.0
2015-09-08,49,1,79.0
2015-09-15,45,1,60.0
2015-09-22,72,2,66.0
2015-09-29,8,1,50.0
2015-10-06,92,2,49.0
2015-10-13,68,2,49.0
2015-10-20,52,3,45.0
2015-10-27,59,2,72.0
2015-11-03,60,3,8.0
2015-11-10,72,4,92.0
2015-11-17,52,3,68.0
2015-11-24,74,3,52.0
2015-12-01,73,3,59.0
2015-12-08,63,2,60.0
2015-12-15,51,4,72.0
2015-12-22,90,3,52.0
2015-12-29,42,2,74.0
2016-01-05,61,1,73.0
2016-01-12,79,3,63.0
2016-01-19,58,1,51.0
2016-01-26,59,2,90.0
2016-02-02,72,3,42.0
2016-02-09,113,3,61.0
2016-02-16,65,2,79.0
2016-02-23,90,2,58.0
2016-03-01,82,3,59.0
2016-03-08,70,1,72.0
2016-03-15,94,1,113.0
2016-03-22,69,1,65.0
2016-03-29,73,1,90.0
2016-04-05,103,1,82.0
2016-04-12,76,1,70.0
2016-04-19,69,4,94.0
2016-04-26,79,4,69.0
2016-05-03,65,4,73.0
2016-05-10,89,3,103.0
2016-05-17,150,3,76.0
2016-05-24,73,4,69.0
2016-05-31,102,4,79.0
2016-06-07,105,4,65.0
2016-06-14,102,4,89.0
2016-06-21,91,4,150.0
2016-06-28,52,4,73.0
2016-07-05,51,4,102.0
2016-07-12,24,4,105.0
2016-07-19,132,4,102.0
2016-07-26,102,4,91.0
2016-08-02,104,4,52.0
2016-08-09,122,4,51.0
2016-08-16,95,4,24.0
2016-08-23,78,4,132.0
2016-08-30,95,4,102.0
2016-09-06,136,4,104.0
2016-09-13,73,4,122.0
2016-09-20,88,4,95.0
2016-09-27,159,4,78.0
2016-10-04,129,4,95.0
2016-10-11,107,4,136.0
2016-10-18,127,4,73.0
2016-10-25,135,3,88.0
2016-11-01,109,3,159.0
2016-11-08,147,4,129.0
2016-11-15,71,4,107.0
2016-11-22,125,4,127.0
2016-11-29,90,4,135.0
2016-12-06,83,4,109.0
2016-12-13,76,4,147.0
2016-12-20,88,1,71.0
2016-12-27,56,3,125.0
2017-01-03,42,2,90.0
