date,demand,civilians_rank,w_{t-5}
2014-02-11,75,2,32.0
2014-02-18,111,3,51.0
2014-02-25,86,1,105.0
2014-03-04,79,2,82.0
2014-03-11,84,3,97.0
2014-03-18,82,2,75.0
2014-03-25,83,4,111.0
2014-04-01,97,2,86.0
2014-04-08,59,4,79.0
2014-04-15,94,4,84.0
2014-04-22,92,2,82.0
2014-04-29,74,3,83.0
2014-05-06,58,3,97.0
2014-05-13,68,3,59.0
2014-05-20,100,3,94.0
2014-05-27,87,1,92.0
2014-06-03,104,2,74.0
2014-06-10,95,2,58.0
2014-06-17,74,3,68.0
2014-06-24,101,1,100.0
2014-07-01,112,2,87.0
2014-07-08,88,1,104.0
2014-07-15,80,2,95.0
2014-07-22,65,3,74.0
2014-07-29,53,2,101.0
2014-08-05,75,3,112.0
2014-08-12,91,1,88.0
2014-08-19,92,4,80.0
2014-08-26,97,2,65.0
2014-09-02,97,1,53.0
2014-09-09,107,2,75.0
2014-09-16,84,2,91.0
2014-09-23,73,1,92.0
2014-09-30,85,1,97.0
2014-10-07,37,3,97.0
2014-10-14,77,1,107.0
2014-10-21,100,2,84.0
2014-10-28,80,1,73.0
2014-11-04,101,1,85.0
2014-11-11,122,2,37.0
2014-11-18,151,3,77.0
2014-11-25,124,1,100.0
2014-12-02,104,3,80.0
2014-12-09,101,1,101.0
2014-12-16,141,2,122.0
2014-12-23,114,2,151.0
2014-12-30,134,4,124.0
2015-01-06,82,2,104.0
2015-01-13,102,1,101.0
2015-01-20,118,1,141.0
2015-01-27,167,1,114.0
2015-02-03,177,2,134.0
2015-02-10,145,3,82.0
2015-02-17,98,1,102.0
2015-02-24,164,2,118.0
2015-03-03,177,2,167.0
2015-03-10,162,1,177.0
2015-03-17,186,1,145.0
2015-03-24,165,3,98.0
2015-03-31,176,2,164.0
2015-04-07,165,1,177.0
2015-04-14,130,1,162.0
2015-04-21,137,2,186.0
2015-04-28,143,3,165.0
2015-05-05,110,3,176.0
2015-05-12,111,3,165.0
2015-05-19,111,1,130.0
2015-05-26,123,3,137.0
2015-06-02,122,1,143.0
2015-06-09,127,2,110.0
2015-06-16,128,3,111.0
2015-06-23,114,1,111.0
2015-06-30,134,4,123.0
2015-07-07,114,1,122.0
2015-07-14,66,1,127.0
2015-07-21,76,1,128.0
2015-07-28,164,2,114.0
2015-08-04,174,3,134.0
2015-08-11,105,2,114.0
2015-08-18,114,3,66.0
2015-08-25,134,2,76.0
2015-09-01,151,1,164.0
2015-09-08,131,1,174.0
2015-09-15,149,1,105.0
2015-09-22,120,2,114.0
2015-09-29,51,1,134.0
2015-10-06,132,2,151.0
2015-10-13,104,2,131.0
2015-10-20,226,3,149.0
2015-10-27,209,2,120.0
2015-11-03,159,3,51.0
2015-11-10,188,4,132.0
2015-11-17,140,3,104.0
2015-11-24,196,3,226.0
2015-12-01,143,3,209.0
2015-12-08,161,2,159.0
2015-12-15,186,4,188.0
2015-12-22,204,3,140.0
2015-12-29,237,2,196.0
2016-01-05,150,1,143.0
2016-01-12,166,3,161.0
2016-01-19,156,1,186.0
2016-01-26,213,2,204.0
2016-02-02,119,3,237.0
2016-02-09,75,3,150.0
2016-02-16,53,2,166.0
2016-02-23,38,2,156.0
2016-03-01,105,3,213.0
2016-03-08,37,1,119.0
2016-03-15,66,1,75.0
2016-03-22,136,1,53.0
2016-03-29,160,1,38.0
2016-04-05,105,1,105.0
2016-04-12,143,1,37.0
2016-04-19,127,4,66.0
2016-04-26,163,4,136.0
2016-05-03,116,4,160.0
2016-05-10,124,3,105.0
2016-05-17,109,3,143.0
2016-05-24,99,4,127.0
2016-05-31,197,4,163.0
2016-06-07,109,4,116.0
2016-06-14,143,4,124.0
2016-06-21,87,4,109.0
2016-06-28,82,4,99.0
2016-07-05,72,4,197.0
2016-07-12,37,4,109.0
2016-07-19,106,4,143.0
2016-07-26,168,4,87.0
2016-08-02,191,4,82.0
2016-08-09,79,4,72.0
2016-08-16,102,4,37.0
2016-08-23,159,4,106.0
2016-08-30,122,4,168.0
2016-09-06,112,4,191.0
2016-09-13,59,4,79.0
2016-09-20,71,4,102.0
2016-09-27,168,4,159.0
2016-10-04,137,4,122.0
2016-10-11,118,4,112.0
2016-10-18,105,4,59.0
2016-10-25,151,3,71.0
2016-11-01,25,3,168.0
2016-11-08,87,4,137.0
2016-11-15,67,4,118.0
2016-11-22,95,4,105.0
2016-11-29,133,4,151.0
2016-12-06,92,4,25.0
2016-12-13,118,4,87.0
2016-12-20,134,1,67.0
2016-12-27,102,3,95.0
2017-01-03,52,2,133.0
