date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4}
2014-02-04,200,149.0,235.0,151.0,151.0
2014-02-11,194,200.0,149.0,235.0,151.0
2014-02-18,200,194.0,200.0,149.0,235.0
2014-02-25,197,200.0,194.0,200.0,149.0
2014-03-04,204,197.0,200.0,194.0,200.0
2014-03-11,195,204.0,197.0,200.0,194.0
2014-03-18,187,195.0,204.0,197.0,200.0
2014-03-25,193,187.0,195.0,204.0,197.0
2014-04-01,242,193.0,187.0,195.0,204.0
2014-04-08,154,242.0,193.0,187.0,195.0
2014-04-15,237,154.0,242.0,193.0,187.0
2014-04-22,235,237.0,154.0,242.0,193.0
2014-04-29,175,235.0,237.0,154.0,242.0
2014-05-06,243,175.0,235.0,237.0,154.0
2014-05-13,237,243.0,175.0,235.0,237.0
2014-05-20,208,237.0,243.0,175.0,235.0
2014-05-27,273,208.0,237.0,243.0,175.0
2014-06-03,183,273.0,208.0,237.0,243.0
2014-06-10,207,183.0,273.0,208.0,237.0
2014-06-17,221,207.0,183.0,273.0,208.0
2014-06-24,219,221.0,207.0,183.0,273.0
2014-07-01,193,219.0,221.0,207.0,183.0
2014-07-08,224,193.0,219.0,221.0,207.0
2014-07-15,194,224.0,193.0,219.0,221.0
2014-07-22,178,194.0,224.0,193.0,219.0
2014-07-29,103,178.0,194.0,224.0,193.0
2014-08-05,174,103.0,178.0,194.0,224.0
2014-08-12,166,174.0,103.0,178.0,194.0
2014-08-19,191,166.0,174.0,103.0,178.0
2014-08-26,170,191.0,166.0,174.0,103.0
2014-09-02,177,170.0,191.0,166.0,174.0
2014-09-09,214,177.0,170.0,191.0,166.0
2014-09-16,173,214.0,177.0,170.0,191.0
2014-09-23,169,173.0,214.0,177.0,170.0
2014-09-30,165,169.0,173.0,214.0,177.0
2014-10-07,98,165.0,169.0,173.0,214.0
2014-10-14,212,98.0,165.0,169.0,173.0
2014-10-21,173,212.0,98.0,165.0,169.0
2014-10-28,193,173.0,212.0,98.0,165.0
2014-11-04,167,193.0,173.0,212.0,98.0
2014-11-11,205,167.0,193.0,173.0,212.0
2014-11-18,212,205.0,167.0,193.0,173.0
2014-11-25,190,212.0,205.0,167.0,193.0
2014-12-02,184,190.0,212.0,205.0,167.0
2014-12-09,172,184.0,190.0,212.0,205.0
2014-12-16,169,172.0,184.0,190.0,212.0
2014-12-23,222,169.0,172.0,184.0,190.0
2014-12-30,195,222.0,169.0,172.0,184.0
2015-01-06,168,195.0,222.0,169.0,172.0
2015-01-13,157,168.0,195.0,222.0,169.0
2015-01-20,190,157.0,168.0,195.0,222.0
2015-01-27,216,190.0,157.0,168.0,195.0
2015-02-03,217,216.0,190.0,157.0,168.0
2015-02-10,240,217.0,216.0,190.0,157.0
2015-02-17,216,240.0,217.0,216.0,190.0
2015-02-24,205,216.0,240.0,217.0,216.0
