date,demand,civilians_rank,distance
2014-02-11,75,2,186.43526517277485
2014-02-18,111,3,181.55742689909763
2014-02-25,86,1,263.392347974706
2014-03-04,79,2,277.10359385370367
2014-03-11,84,3,248.01479352285432
2014-03-18,82,2,157.92623268711583
2014-03-25,83,4,257.817279482238
2014-04-01,97,2,329.26301704747834
2014-04-08,59,4,285.5165397063073
2014-04-15,94,4,156.34774483563137
2014-04-22,92,2,211.09091637462063
2014-04-29,74,3,144.512714366764
2014-05-06,58,3,180.22726773569332
2014-05-13,68,3,230.27464388098664
2014-05-20,100,3,169.8745938593517
2014-05-27,87,1,176.8631885734666
2014-06-03,104,2,232.11952042456716
2014-06-10,95,2,398.12420355153574
2014-06-17,74,3,208.4436685556848
2014-06-24,101,1,151.89446655709568
2014-07-01,112,2,162.8816983486657
2014-07-08,88,1,141.9443609098556
2014-07-15,80,2,140.420895478268
2014-07-22,65,3,147.52670643127001
2014-07-29,53,2,294.0767818932507
2014-08-05,75,3,140.30938835006742
2014-08-12,91,1,147.72537301503448
2014-08-19,92,4,164.92997875385663
2014-08-26,97,2,151.93731121128332
2014-09-02,97,1,149.16119185994813
2014-09-09,107,2,216.67776898409556
2014-09-16,84,2,135.32577063195959
2014-09-23,73,1,169.62627738948876
2014-09-30,85,1,263.89250020465084
2014-10-07,37,3,128.52077614999587
2014-10-14,77,1,147.3543433336823
2014-10-21,100,2,244.44156065939887
2014-10-28,80,1,127.80122864757334
2014-11-04,101,1,244.582438204952
2014-11-11,122,2,247.29137080029238
2014-11-18,151,3,183.148415771314
2014-11-25,124,1,269.54253763020483
2014-12-02,104,3,137.09378685065437
2014-12-09,101,1,172.36733261652537
2014-12-16,141,2,274.01678826786844
2014-12-23,114,2,495.8699226951202
2014-12-30,134,4,327.19062223784437
2015-01-06,82,2,243.04366444330762
2015-01-13,102,1,532.5640666321978
2015-01-20,118,1,398.0549685709452
2015-01-27,167,1,357.3140855152916
2015-02-03,177,2,248.08535369829758
2015-02-10,145,3,329.90649829564273
2015-02-17,98,1,143.27778209209572
2015-02-24,164,2,437.928780015276
2015-03-03,177,2,543.890244487772
2015-03-10,162,1,676.429951648845
2015-03-17,186,1,289.4455708326017
2015-03-24,165,3,293.8561287895166
2015-03-31,176,2,406.24290334188566
2015-04-07,165,1,249.80694004045944
2015-04-14,130,1,339.2408266600142
2015-04-21,137,2,235.8041949035175
2015-04-28,143,3,334.6220287735815
2015-05-05,110,3,147.7523274445889
2015-05-12,111,3,260.7197065295859
2015-05-19,111,1,160.72669000091332
2015-05-26,123,3,416.49747286204354
2015-06-02,122,1,504.73709285072374
2015-06-09,127,2,147.8564842497624
2015-06-16,128,3,248.16637839808118
2015-06-23,114,1,284.6151630807675
2015-06-30,134,4,366.3959753678413
2015-07-07,114,1,398.784088038704
2015-07-14,66,1,255.43835894038497
2015-07-21,76,1,164.44523865453291
2015-07-28,164,2,165.34012215829915
2015-08-04,174,3,226.20350221911065
2015-08-11,105,2,338.1664309546827
2015-08-18,114,3,241.9945633346221
2015-08-25,134,2,166.71196639574237
2015-09-01,151,1,155.89001013322988
2015-09-08,131,1,150.36836691986392
2015-09-15,149,1,119.73695048369845
2015-09-22,120,2,117.56951795130188
2015-09-29,51,1,119.9405160641516
2015-10-06,132,2,166.95558448410063
2015-10-13,104,2,153.81295664374167
2015-10-20,226,3,148.7848177555266
2015-10-27,209,2,156.9651965226074
2015-11-03,159,3,282.84526519091037
2015-11-10,188,4,274.86205506012084
2015-11-17,140,3,319.4314017725323
2015-11-24,196,3,233.7686641936492
2015-12-01,143,3,177.95138626393563
2015-12-08,161,2,263.5010994303953
2015-12-15,186,4,235.7568737112083
2015-12-22,204,3,287.8915796600832
2015-12-29,237,2,245.01578608483214
2016-01-05,150,1,206.63900622114681
2016-01-12,166,3,261.3550678200407
2016-01-19,156,1,287.03585469537586
2016-01-26,213,2,235.13062609889855
2016-02-02,119,3,552.1806749254147
2016-02-09,75,3,329.1364949280054
2016-02-16,53,2,250.36485208349444
2016-02-23,38,2,345.0780772957265
2016-03-01,105,3,328.67799948553056
2016-03-08,37,1,314.8217189645772
2016-03-15,66,1,187.83679965065738
2016-03-22,136,1,391.95256049918856
2016-03-29,160,1,350.38261901263513
2016-04-05,105,1,440.6501573233557
2016-04-12,143,1,203.54175381900436
2016-04-19,127,4,298.41944566876236
2016-04-26,163,4,286.86605323058114
2016-05-03,116,4,269.4393617719913
2016-05-10,124,3,337.28538930397275
2016-05-17,109,3,246.00093016376846
2016-05-24,99,4,304.03056532028864
2016-05-31,197,4,186.44626581374862
2016-06-07,109,4,299.4909135289364
2016-06-14,143,4,311.05292367801707
2016-06-21,87,4,250.21719197175858
2016-06-28,82,4,190.6607217977681
2016-07-05,72,4,248.1869542884468
2016-07-12,37,4,203.85807397795867
2016-07-19,106,4,203.1415835957333
2016-07-26,168,4,188.1946382345801
2016-08-02,191,4,198.84217082760918
2016-08-09,79,4,195.35900217049183
2016-08-16,102,4,206.70080320383812
2016-08-23,159,4,366.03849416869264
2016-08-30,122,4,175.79121628399915
2016-09-06,112,4,176.49892546568225
2016-09-13,59,4,179.12926643453048
2016-09-20,71,4,289.3895129962328
2016-09-27,168,4,307.54904020174666
2016-10-04,137,4,185.25333005055265
2016-10-11,118,4,186.942618383218
2016-10-18,105,4,176.60183126047497
2016-10-25,151,3,186.56891136829518
2016-11-01,25,3,174.81304200561692
2016-11-08,87,4,237.25247938910383
2016-11-15,67,4,173.01701033691631
2016-11-22,95,4,173.6872849994055
2016-11-29,133,4,172.73441365359787
2016-12-06,92,4,190.5660568249821
2016-12-13,118,4,196.6425361804014
2016-12-20,134,1,198.64353819461132
2016-12-27,102,3,163.31881767666232
2017-01-03,52,2,194.8470083057963
