date,demand,civilians_rank,w_{t-5}
2014-02-11,9,2,4.0
2014-02-18,9,3,12.0
2014-02-25,7,1,13.0
2014-03-04,6,2,10.0
2014-03-11,20,3,13.0
2014-03-18,11,2,9.0
2014-03-25,10,4,9.0
2014-04-01,14,2,7.0
2014-04-08,13,4,6.0
2014-04-15,15,4,20.0
2014-04-22,17,2,11.0
2014-04-29,8,3,10.0
2014-05-06,8,3,14.0
2014-05-13,20,3,13.0
2014-05-20,19,3,15.0
2014-05-27,13,1,17.0
2014-06-03,15,2,8.0
2014-06-10,17,2,8.0
2014-06-17,17,3,20.0
2014-06-24,9,1,19.0
2014-07-01,6,2,13.0
2014-07-08,8,1,15.0
2014-07-15,7,2,17.0
2014-07-22,15,3,17.0
2014-07-29,10,2,9.0
2014-08-05,1,3,6.0
2014-08-12,13,1,8.0
2014-08-19,13,4,7.0
2014-08-26,7,2,15.0
2014-09-02,12,1,10.0
2014-09-09,4,2,1.0
2014-09-16,22,2,13.0
2014-09-23,6,1,13.0
2014-09-30,21,1,7.0
2014-10-07,13,3,12.0
2014-10-14,6,1,4.0
2014-10-21,28,2,22.0
2014-10-28,28,1,6.0
2014-11-04,22,1,21.0
2014-11-11,11,2,13.0
2014-11-18,29,3,6.0
2014-11-25,24,1,28.0
2014-12-02,27,3,28.0
2014-12-09,10,1,22.0
2014-12-16,30,2,11.0
2014-12-23,14,2,29.0
2014-12-30,12,4,24.0
2015-01-06,6,2,27.0
2015-01-13,0,1,10.0
2015-01-20,7,1,30.0
2015-01-27,20,1,14.0
2015-02-03,11,2,12.0
2015-02-10,21,3,6.0
2015-02-17,0,1,0.0
2015-02-24,9,2,7.0
2015-03-03,15,2,20.0
2015-03-10,12,1,11.0
2015-03-17,12,1,21.0
2015-03-24,3,3,0.0
2015-03-31,17,2,9.0
2015-04-07,16,1,15.0
2015-04-14,14,1,12.0
2015-04-21,17,2,12.0
2015-04-28,8,3,3.0
2015-05-05,9,3,17.0
2015-05-12,13,3,16.0
2015-05-19,17,1,14.0
2015-05-26,7,3,17.0
2015-06-02,9,1,8.0
2015-06-09,23,2,9.0
2015-06-16,96,3,13.0
2015-06-23,71,1,17.0
2015-06-30,47,4,7.0
2015-07-07,84,1,9.0
2015-07-14,67,1,23.0
2015-07-21,28,1,96.0
2015-07-28,91,2,71.0
2015-08-04,96,3,47.0
2015-08-11,73,2,84.0
2015-08-18,78,3,67.0
2015-08-25,69,2,28.0
2015-09-01,71,1,91.0
2015-09-08,68,1,96.0
2015-09-15,56,1,73.0
2015-09-22,79,2,78.0
2015-09-29,23,1,69.0
2015-10-06,87,2,71.0
2015-10-13,88,2,68.0
2015-10-20,79,3,56.0
2015-10-27,100,2,79.0
2015-11-03,78,3,23.0
2015-11-10,54,4,87.0
2015-11-17,88,3,88.0
2015-11-24,64,3,79.0
2015-12-01,73,3,100.0
2015-12-08,90,2,78.0
2015-12-15,93,4,54.0
2015-12-22,89,3,88.0
2015-12-29,82,2,64.0
2016-01-05,52,1,73.0
2016-01-12,81,3,90.0
2016-01-19,71,1,93.0
2016-01-26,38,2,89.0
2016-02-02,55,3,82.0
2016-02-09,91,3,52.0
2016-02-16,66,2,81.0
2016-02-23,70,2,71.0
2016-03-01,70,3,38.0
2016-03-08,67,1,55.0
2016-03-15,66,1,91.0
2016-03-22,55,1,66.0
2016-03-29,57,1,70.0
2016-04-05,59,1,70.0
2016-04-12,56,1,67.0
2016-04-19,48,4,66.0
2016-04-26,54,4,55.0
2016-05-03,49,4,57.0
2016-05-10,46,3,59.0
2016-05-17,57,3,56.0
2016-05-24,68,4,48.0
2016-05-31,72,4,54.0
2016-06-07,37,4,49.0
2016-06-14,55,4,46.0
2016-06-21,64,4,57.0
2016-06-28,45,4,68.0
2016-07-05,48,4,72.0
2016-07-12,39,4,37.0
2016-07-19,90,4,55.0
2016-07-26,63,4,64.0
2016-08-02,67,4,45.0
2016-08-09,59,4,48.0
2016-08-16,55,4,39.0
2016-08-23,78,4,90.0
2016-08-30,53,4,63.0
2016-09-06,64,4,67.0
2016-09-13,32,4,59.0
2016-09-20,66,4,55.0
2016-09-27,77,4,78.0
2016-10-04,74,4,53.0
2016-10-11,46,4,64.0
2016-10-18,73,4,32.0
2016-10-25,76,3,66.0
2016-11-01,74,3,77.0
2016-11-08,60,4,74.0
2016-11-15,81,4,46.0
2016-11-22,65,4,73.0
2016-11-29,63,4,76.0
2016-12-06,51,4,74.0
2016-12-13,65,4,60.0
2016-12-20,55,1,81.0
2016-12-27,214,3,65.0
2017-01-03,127,2,63.0
