date,demand,civilians_rank,w_{t-5}
2014-02-11,45,2,61.0
2014-02-18,59,3,62.0
2014-02-25,54,1,54.0
2014-03-04,34,2,52.0
2014-03-11,54,3,37.0
2014-03-18,48,2,45.0
2014-03-25,76,4,59.0
2014-04-01,45,2,54.0
2014-04-08,59,4,34.0
2014-04-15,46,4,54.0
2014-04-22,66,2,48.0
2014-04-29,45,3,76.0
2014-05-06,35,3,45.0
2014-05-13,42,3,59.0
2014-05-20,62,3,46.0
2014-05-27,42,1,66.0
2014-06-03,49,2,45.0
2014-06-10,41,2,35.0
2014-06-17,37,3,42.0
2014-06-24,44,1,62.0
2014-07-01,48,2,42.0
2014-07-08,40,1,49.0
2014-07-15,39,2,41.0
2014-07-22,35,3,37.0
2014-07-29,29,2,44.0
2014-08-05,30,3,48.0
2014-08-12,66,1,40.0
2014-08-19,48,4,39.0
2014-08-26,44,2,35.0
2014-09-02,45,1,29.0
2014-09-09,31,2,30.0
2014-09-16,41,2,66.0
2014-09-23,29,1,48.0
2014-09-30,48,1,44.0
2014-10-07,21,3,45.0
2014-10-14,45,1,31.0
2014-10-21,23,2,41.0
2014-10-28,39,1,29.0
2014-11-04,30,1,48.0
2014-11-11,35,2,21.0
2014-11-18,39,3,45.0
2014-11-25,46,1,23.0
2014-12-02,30,3,39.0
2014-12-09,24,1,30.0
2014-12-16,27,2,35.0
2014-12-23,32,2,39.0
2014-12-30,37,4,46.0
2015-01-06,20,2,30.0
2015-01-13,13,1,24.0
2015-01-20,39,1,27.0
2015-01-27,43,1,32.0
2015-02-03,48,2,37.0
2015-02-10,52,3,20.0
2015-02-17,7,1,13.0
2015-02-24,36,2,39.0
2015-03-03,39,2,43.0
2015-03-10,43,1,48.0
2015-03-17,37,1,52.0
2015-03-24,39,3,7.0
2015-03-31,40,2,36.0
2015-04-07,30,1,39.0
2015-04-14,40,1,43.0
2015-04-21,50,2,37.0
2015-04-28,30,3,39.0
2015-05-05,13,3,40.0
2015-05-12,20,3,30.0
2015-05-19,40,1,40.0
2015-05-26,23,3,50.0
2015-06-02,29,1,30.0
2015-06-09,30,2,13.0
2015-06-16,18,3,20.0
2015-06-23,22,1,40.0
2015-06-30,8,4,23.0
2015-07-07,16,1,29.0
2015-07-14,11,1,30.0
2015-07-21,3,1,18.0
2015-07-28,22,2,22.0
2015-08-04,12,3,8.0
2015-08-11,28,2,16.0
2015-08-18,15,3,11.0
2015-08-25,29,2,3.0
2015-09-01,17,1,22.0
2015-09-08,17,1,12.0
2015-09-15,7,1,28.0
2015-09-22,23,2,15.0
2015-09-29,4,1,29.0
2015-10-06,28,2,17.0
2015-10-13,51,2,17.0
2015-10-20,27,3,7.0
2015-10-27,32,2,23.0
2015-11-03,21,3,4.0
2015-11-10,44,4,28.0
2015-11-17,50,3,51.0
2015-11-24,46,3,27.0
2015-12-01,36,3,32.0
2015-12-08,54,2,21.0
2015-12-15,37,4,44.0
2015-12-22,56,3,50.0
2015-12-29,74,2,46.0
2016-01-05,54,1,36.0
2016-01-12,35,3,54.0
2016-01-19,64,1,37.0
2016-01-26,47,2,56.0
2016-02-02,53,3,74.0
2016-02-09,31,3,54.0
2016-02-16,21,2,35.0
2016-02-23,27,2,64.0
2016-03-01,16,3,47.0
2016-03-08,12,1,53.0
2016-03-15,18,1,31.0
2016-03-22,29,1,21.0
2016-03-29,35,1,27.0
2016-04-05,32,1,16.0
2016-04-12,49,1,12.0
2016-04-19,25,4,18.0
2016-04-26,35,4,29.0
2016-05-03,53,4,35.0
2016-05-10,24,3,32.0
2016-05-17,40,3,49.0
2016-05-24,31,4,25.0
2016-05-31,39,4,35.0
2016-06-07,41,4,53.0
2016-06-14,21,4,24.0
2016-06-21,22,4,40.0
2016-06-28,35,4,31.0
2016-07-05,23,4,39.0
2016-07-12,14,4,41.0
2016-07-19,42,4,21.0
2016-07-26,52,4,22.0
2016-08-02,29,4,35.0
2016-08-09,29,4,23.0
2016-08-16,55,4,14.0
2016-08-23,44,4,42.0
2016-08-30,33,4,52.0
2016-09-06,28,4,29.0
2016-09-13,33,4,29.0
2016-09-20,34,4,55.0
2016-09-27,66,4,44.0
2016-10-04,50,4,33.0
2016-10-11,60,4,28.0
2016-10-18,52,4,33.0
2016-10-25,50,3,34.0
2016-11-01,33,3,66.0
2016-11-08,35,4,50.0
2016-11-15,26,4,60.0
2016-11-22,40,4,52.0
2016-11-29,53,4,50.0
2016-12-06,40,4,33.0
2016-12-13,36,4,35.0
2016-12-20,44,1,26.0
2016-12-27,45,3,40.0
2017-01-03,33,2,53.0
